"target","text"
0,"assert(value[, message])"
0,"assert.deepEqual(actual, expected[, message])"
0,"assert.deepStrictEqual(actual, expected[, message])"
0,"assert.doesNotThrow(block[, error][, message])"
0,"assert.equal(actual, expected[, message])"
0,"assert.fail(actual, expected, message, operator)"
0,"assert.ifError(value)"
1,"buf.readDoubleBE(offset[, noAssert])"
1,"buf.readDoubleLE(offset[, noAssert])"
1,"buf.readFloatBE(offset[, noAssert])"
1,"buf.readFloatLE(offset[, noAssert])"
1,"buf.readInt8(offset[, noAssert])"
1,"buf.readInt16BE(offset[, noAssert])"
1,"buf.readInt16LE(offset[, noAssert])"
1,"buf.readInt32BE(offset[, noAssert])"
1,"buf.readInt32LE(offset[, noAssert])"
1,"buf.readUInt8(offset[, noAssert])"
1,"buf.readUInt32BE(offset[, noAssert])"
1,"buf.readUIntBE(offset, byteLength[, noAssert])"
2,"buf.write(string[, offset[, length]][, encoding])"
2,"buf.writeDoubleBE(value, offset[, noAssert])"
2,"buf.writeDoubleLE(value, offset[, noAssert])"
2,"buf.writeFloatBE(value, offset[, noAssert])"
2,"buf.writeFloatLE(value, offset[, noAssert])"
2,"buf.writeInt8(value, offset[, noAssert])"
2,"buf.writeInt16BE(value, offset[, noAssert])"
2,"buf.writeInt16LE(value, offset[, noAssert])"
2,"buf.writeInt32BE(value, offset[, noAssert])"
2,"buf.writeInt32LE(value, offset[, noAssert])"
2,"buf.writeIntLE(value, offset, byteLength[, noAssert])"
2,"buf.writeUInt8(value, offset[, noAssert])"
2,"buf.writeUInt32BE(value, offset[, noAssert])"
2,"buf.writeUIntLE(value, offset, byteLength[, noAssert])"
2,"child_process.exec(command[, options][, callback])"
2,"child_process.execFile(file[, args][, options][, callback])"
2,"child_process.execFileSync(file[, args][, options])"
2,"child_process.execSync(command[, options])"
1,"crypto.getCiphers()"
1,"crypto.getCurves()"
1,"crypto.getDiffieHellman(group_name)"
1,"crypto.getHashes()"
2,"cipher.setAAD(buffer)"
1,"cipher.getAuthTag()"
2,"decipher.setAAD(buffer)"
2,"decipher.setAuthTag(buffer)"
0,"diffieHellman.generateKeys([encoding])"
1,"diffieHellman.getGenerator([encoding])"
1,"diffieHellman.getPrime([encoding])"
1,"diffieHellman.getPrivateKey([encoding])"
2,"diffieHellman.setPrivateKey(private_key[, encoding])"
2,"diffieHellman.setPublicKey(public_key[, encoding])"
0,"ecdh.computeSecret(other_public_key[, input_encoding][, output_encoding])"
0,"ecdh.generateKeys([encoding[, format]])"
1,"ecdh.getPrivateKey([encoding])"
1,"ecdh.getPublicKey([encoding[, format]])"
2,"ecdh.setPublicKey(public_key[, encoding])"
0,"hmac.digest([encoding])"
0,"dgram.createSocket(options[, callback])"
0,"dgram.createSocket(type[, callback])"
0,"socket.addMembership(multicastAddress[, multicastInterface])"
0,"socket.bind(options[, callback])"
0,"socket.close([callback])"
0,"socket.send(msg, [offset, length,] port, address[, callback])"
0,"socket.setBroadcast(flag)"
0,"socket.setMulticastLoopback(flag)"
0,"socket.ref()"
1,"dns.getServers()"
0,"dns.lookup(hostname[, options], callback)"
0,"dns.resolve(hostname[, rrtype], callback)"
0,"dns.resolve6(hostname[, options], callback)"
0,"dns.resolveMx(hostname, callback)"
0,"dns.resolvePtr(hostname, callback)"
0,"dns.reverse(ip, callback)"
2,"dns.setServers(servers)"
0,"os.arch()"
0,"os.cpus()"
0,"os.freemem()"
1,"os.hostname()"
0,"os.loadavg()"
0,"os.platform()"
0,"os.totalmem()"
0,"os.type()"
1,"os.userInfo([options])"
1,"path.basename(path[, ext])"
0,"path.dirname(path)"
0,"path.format(pathObject)"
0,"path.join([...paths])"
0,"path.normalize(path)"
0,"path.relative(from, to)"
0,"path.resolve([...paths])"
0,"querystring.escape(str)"
1,"querystring.parse(str[, sep[, eq[, options]]])"
0,"querystring.stringify(obj[, sep[, eq[, options]]])"
0,"EventEmitter.listenerCount(emitter, eventName)"
0,"emitter.emit(eventName[, ...args])"
1,"emitter.getMaxListeners()"
0,"emitter.listeners(eventName)"
0,"emitter.once(eventName, listener)"
0,"emitter.prependOnceListener(eventName, listener)"
0,"emitter.removeAllListeners([eventName])"
0,"emitter.setMaxListeners(n)"
0,"Event: 'newListener'"
0,"fs.access(path[, mode], callback)"
0,"fs.accessSync(path[, mode])"
0,"fs.appendFileSync(file, data[, options])"
0,"fs.chown(path, uid, gid, callback)"
0,"fs.close(fd, callback)"
0,"fs.createReadStream(path[, options])"
2,"fs.createWriteStream(path[, options])"
0,"fs.exists(path, callback)"
0,"fs.existsSync(path)"
0,"fs.fchmod(fd, mode, callback)"
0,"fs.fchmodSync(fd, mode)"
0,"fs.fdatasync(fd, callback)"
0,"fs.fsync(fd, callback)"
